,source_dataset,target_model,target_dataset,target_balancing,target_adv_training,baseline_f1
303,google,alexnet,google,50/50,curriculum,0.8529566
304,google,resnet,google,20/80,curriculum,0.88596094
305,google,resnet,google,30/70,curriculum,0.90721655
306,google,resnet,google,40/60,curriculum,0.90796274
307,google,resnet,google,50/50,curriculum,0.9257774
308,google,vgg,google,20/80,curriculum,0.9017773
309,google,vgg,google,30/70,curriculum,0.9183673
310,google,vgg,google,40/60,curriculum,0.9262419
311,google,vgg,google,50/50,curriculum,0.9222109
312,google,alexnet,bing,20/80,ensamble,0.82367975
313,google,alexnet,bing,30/70,ensamble,0.8435252
314,google,alexnet,bing,40/60,ensamble,0.8607719
315,google,alexnet,bing,50/50,ensamble,0.863179
316,google,resnet,bing,20/80,ensamble,0.89684016
317,google,resnet,bing,30/70,ensamble,0.9145874
318,google,resnet,bing,40/60,ensamble,0.9202154
319,google,resnet,bing,50/50,ensamble,0.92519087
320,google,vgg,bing,20/80,ensamble,0.89863276
321,google,vgg,bing,30/70,ensamble,0.91568625
322,google,vgg,bing,40/60,ensamble,0.918622
323,google,vgg,bing,50/50,ensamble,0.9173387
324,google,alexnet,google,20/80,ensamble,0.8332612
325,google,alexnet,google,30/70,ensamble,0.8538708
326,google,alexnet,google,40/60,ensamble,0.8435114
327,google,alexnet,google,50/50,ensamble,0.8187566
328,google,resnet,google,20/80,ensamble,0.9019608
329,google,resnet,google,30/70,ensamble,0.9169054
330,google,resnet,google,40/60,ensamble,0.92631584
331,google,resnet,google,50/50,ensamble,0.925177
332,google,vgg,google,20/80,ensamble,0.9006066
333,google,vgg,google,30/70,ensamble,0.92285013
334,google,vgg,google,40/60,ensamble,0.9262837
335,google,vgg,google,50/50,ensamble,0.9257552
336,google,alexnet,bing,20/80,gaussian,0.82433003
337,google,alexnet,bing,30/70,gaussian,0.84722847
338,google,alexnet,bing,40/60,gaussian,0.8624289
339,google,alexnet,bing,50/50,gaussian,0.8632653
